Uniform Resource Identifier;;Naam;Toelichting voor programmeur;Data voorbeeld;Toelichting van Business;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftGebeurtenisNaam; relatie; Heeft gebeurtenis naam; De property heeftGebeurtenisNaam legt de relatie tussen de gebeurtenis en de naam van de gebeurtenis vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftGemeente; relatie; Heeft gemeente; De property heeftGemeente legt de relatie tussen het adres van een cultuurhistorisch object en de gemeente waarin het cultuurhistorisch object zich bevindt.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftGeometrieKwaliteit; relatie; Heeft geometrie kwaliteit; De property heeftGeometrieKwaliteit legt de relatie tussen de geometrie en de geometrische kwaliteit vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftGeometrieStatus; relatie; Heeft geometrie status; De property heeftGeometrieStatus legt de relatie tussen de geometrie en de geometrische status vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftHerinneringswaarde; relatie; Heeft herinneringswaarde; De property heeftHerinneringswaarde legt de relatie tussen de archeologische kwaliteit en de herinneringswaarde  met betrekking tot een cultuurhistorisch object.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftHerkomst; relatie; Heeft herkomst; De property heeftHerkomst legt de relatie tussen de geometrie en de herkomst vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftHoofdadres; relatie; Heeft hoofdadres; De property heeftHoofdadres legt de relatie tussen een rijksmonument en het hoofdadres vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftHoofdfunctie; relatie; hoofdfunctie; ;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftHuidigeBestemming; relatie; Heeft huidige bestemming; De property heeftHuidigeBestemming legt de relatie tussen een cultuurhistorisch object en de huidige bestemming vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftIndicatieNauwkeurigheid; relatie; Heeft indicatie nauwkeurigheid; De property heeftIndicatieNauwkeurigheid legt de relatie tussen het tijdvak en de indicatieve nauwkeurigheid vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftInformatiewaarde; relatie; Heeft informatiewaarde; De property heeftInformatiewaarde legt de relatie tussen de archeologische kwaliteit en de informatiewaarde met betrekking tot een cultuurhistorisch object vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftInvoerder; relatie; Heeft invoerder; De property heeftInvoerder legt de relatie tussen de kennisregistratie en de invoerder vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftJuridischeStatus; relatie; Heeft juridische status; De property heeftJuridischeStatus legt de relatie het rijksmonument en de juridische status, geeft aan of het rijksmonument \voorbeschermd\ of \rijksmonument\ is.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftKennisdomein; relatie; Heeft kennisdomein; De property heeftKennisdomein legt de relatie tussen de kennisregistratie en het kennisdomein vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftKennisregistratie; relatie; Heeft kennisregistratie; De property heeftKennisregistratie legt de relatie tussen het cultuurhistorisch object en de Kennisregistratie vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftLocatieAanduiding; relatie; Heeft locatie aanduiding; De property heeftLocatieAanduiding legt de relatie tussen het cultuurhistorisch object en de locatie aanduiding vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftLocatieAanduidingStatus; relatie; Heeft locatie aanduiding status; De property heeftLocatieAanduidingStatus legt de relatie tussen de locatie aanduiding en de status van de  locatie Aanduiding met betrekking tot een cultuurhistorisch object vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftLocatieAdres; relatie; Heeft locatie adres; De property heeftLocatieAdres legt de relatie tussen de locatie aanduiding en het adres met betrekking tot een cultuurhistorisch object vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftMateOvername; relatie; Heeft mate Overname; De property heeftMateOvername legt de relatie tussen de basisregistratie en de mate van overname vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftMateriaal; relatie; Heeft Materiaal; De property heeftMateriaal legt de relatie tussen een cultuurhistorisch object en het materiaal vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftMateriaalNaam; relatie; Heeft materiaalnaam; De property heeftMateriaalNaam legt de relatie tussen het materiaal en de naam van het materiaal vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftMaterieleFormeleHistorie; relatie; Heeft materiele formele historie; De property heeftMaterieleFormeleHistorie legt de relatie tussen samenhang, geometrie, locatie aanduiding, basisregistratie, cultuurhistorisch object en de materiele en formele historie vast.;;;;Range: Uri: https://data.cultureelerfgoed.nl/vocab/def/ceo#MaterieleFormeleHistorie
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftMelder; relatie; Heeft melder; De property heeftMelder legt de relatie tussen de kennisregistratie en de melder vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftMonumentAard; relatie; Heeft monument aard; De property heeftMonumentAard legt de relatie tussen een rijksmonument en de aard van het monument vast, geeft aan of het rijksmonument \archeologisch\ of \onroerend gebouwd\ is.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftNaam; relatie; Heeft naam; De property heeftNaam legt de relatie tussen eedn cultuurhistorisch object en de naam vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftNauwkeurigheid; relatie; Heeft nauwkeurigheid; De property heeftNauwkeurigheid legt de relatie tussen de basisregistratie en de nauwkeurigheid van de registratie vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftObservatiedatum; relatie; Heeft observatiedatum; De property heeftObservatiedatum legt de relatie tussen de Kennisregistratie en de observatiedatum van de registratie vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftOmschrijving; relatie; Heeft omschrijving; De property heeftOmschrijving legt de relatie tussen een cultuurhistorisch object en de omschrijving vast.;;;;
